lat,lon,label,source,place,river,state,url
26.9238701,75.8231702,1,SANDRP,Dying,Ganga,Arunachal Pradesh,https://sandrp.in/whats-new/whats-new-2011/
27.7973645,77.428776,1,DownToEarth,the Kosi,Kosi,Uttarakhand,https://www.downtoearth.org.in/mining/illegal-sand-mining-runs-rampant-in-kosi-river-uttarakhand
29.3433143,79.1300368,1,DownToEarth,Kosi,Kosi,Uttarakhand,https://www.downtoearth.org.in/mining/illegal-sand-mining-runs-rampant-in-kosi-river-uttarakhand
24.9142734,84.1862208,1,DownToEarth,on Sone,Sone,Bihar,https://www.downtoearth.org.in/mining/illegal-sand-mining-20-arrested-40-big-boats-seized-in-bihar-police-operation-on-sone-river-93541
16.5163854,80.6562612,1,DownToEarth,from the,Sone,Bihar,https://www.downtoearth.org.in/mining/illegal-sand-mining-20-arrested-40-big-boats-seized-in-bihar-police-operation-on-sone-river-93541
25.5312002,85.1781037,1,DownToEarth,the state,Sone,Bihar,https://www.downtoearth.org.in/mining/illegal-sand-mining-20-arrested-40-big-boats-seized-in-bihar-police-operation-on-sone-river-93541
19.1046594,73.0063731,1,DownToEarth,sector and,,Kerala,https://www.downtoearth.org.in/mining/why-centres-decision-to-begin-offshore-sand-mining-along-kerala-coast-has-state-government-environmentalists-up-in-arms
13.053347,77.5980418,1,DownToEarth,Kerala coast,,Kerala,https://www.downtoearth.org.in/mining/why-centres-decision-to-begin-offshore-sand-mining-along-kerala-coast-has-state-government-environmentalists-up-in-arms
26.7757898,78.5048044,1,GoogleNews,National Chambal,Chambal,,https://news.google.com/rss/articles/CBMibEFVX3lxTE1vWnBIVk11ZENSRHVyZVJ1UUlfckZ3X2pzUEpjZGJOZHBMUEstbVBYcjZpNkVMNEFrU2ZXRTg4OWdURnV3SU1YMHdVRzQ2YmluQmlxVE8waFBtaHNuMzZ0X0pVd1NJQU1KNU15NA?oc=5
28.5926583,77.2705541,1,GoogleNews,Yamuna,Yamuna,Delhi,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQMW1ubFdoMloxZDlmLWI1ZUxkblN6NEtaN1VxQTc5OWVhU2FzTFVxSGxXXzRVbGFIdm05akVZcWhLQ3hETWNhQVhEaEI1VkpsbHRWT0Qwb1dQLXFXSUZvSjBCTTFxb2lEN1VHVjZEVWtIZ0VpamlSUUdPS2NCS3lXQXZDSll0eVJPblRtaVBCYTdGaDEwZU4zbWVwNkJTMDVlOWRkRUVobTByblhDdmVHQVB5RkFodHdIdFJIcEh4MXJMYTJvdTAzelBsNDJfVzdw0gHYAUFVX3lxTE11ZHB6eXRrbS1qbEo4ZU5qa1A3MW5fYVFiWlozbWhpRjBPVFlsQlFLNTZ1MHY2anhmN2Nva0JXM3ZFZ3d3ZUdEV0R2SUM1Y2pKNmR0ejRsblZWRkUzTDhjRkx1ZS1zWkQzRkg3bVVpckRXUFNpYldKeVZDOVJCVFlrMjFiQ2xuVjVaR1BfSnZkdUQtakpxUktVbGpodnZxcTVReUsza0R0TUpSRndVNGlzdFE2clVRUTNxYXJpUjRKRk1mRDlVX1pJaFVyVzRodzhrY2tQRHBiRA?oc=5
29.4496979,77.7429333,1,GoogleNews,Muzaffarnagar,,,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPaUhXcGEtYi1RLWZMaHdhT0M5OE1vTDdibDA5MXNqSlF3TXYwRFIxVy01Rk5qNDJGWkpjUHdPRlRSRVl3c0dFOWVpS2s0STNSb0ZVQU9EMjRYbUlkS2RCcm1OM1F4bWVuWUJuMlY3ZGdIeHFWcXFuWi12cl9GNUN2QU14QzFUVzlCTWV4TDZidmNyTTZxUFVPTDRDWDFCQ2lTbHRRUXU1dS12eXJxb0tuM1c2VHFha1ItLWlKckk5cGl6Y0pMRmhBedIB1gFBVV95cUxOalFTajJYNU1WRjZHRXNObGJFNnNuZDdLOHU3R3BZRkxFdGhqaHBTVnRFNXhLaTFNM3FGZkFLLVB4RXBRc0d0dmZLWjByWWxQSFVDQVlhUzM2UG02ZlhJb2pBUnF6S0MzeXE1TU8tTWNNUG1XVVF4YnVIeWNhR3Y4cFlRWjFKTWJRdE5IbVBkSzlmSVQ1QVl4UEFzYjNTNEhYRmE3bnBacXd2Vy1qd1lqV25ZU1JOUjl1emxyMk15anJkM2lOeDViTE5oOWJMaXdSRXBXRUFn?oc=5
